# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian5_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian5_1.data.R
# init = 2 (Default)
# random
#   seed = 1750850501
# output
#   file = CmdStanGaussian5_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-8900.84,0.5,0.015625,1,2,1,14094.2,1.02831,1.71589
-8900.84,0,5.79578,0,1,1,8907.12,1.02831,1.71589
-8900.84,0,0.748159,0,1,1,8900.87,1.02831,1.71589
-8900.84,0,0.0632707,0,1,1,8901.61,1.02831,1.71589
-8706.09,1,0.00446404,1,1,0,8900.22,0.996369,1.66861
-5082.87,0.857145,0.00579375,3,7,0,8396.92,-0.00576355,0.907097
-5025.18,1,0.00564435,1,1,0,5072.25,-0.00417551,0.938047
-4986.44,1,0.0092917,1,3,0,5009.53,0.0153091,0.995024
-4986.12,0.241908,0.0162854,2,5,0,4987.31,0.00989548,1.00694
-4985.87,0.989878,0.00270966,4,15,0,4987.4,-0.0160824,0.990987
-4986.49,0.938422,0.00488354,1,1,0,4986.49,-0.0176781,0.988707
-4984.55,0.996433,0.00762744,2,3,0,4986.49,-0.00604937,0.999546
-4984.55,0.000922277,0.0144683,2,3,0,4986.67,-0.00604937,0.999546
-4984.71,0.997634,0.00121598,3,15,0,4985.39,-0.00915364,0.996176
-4985.19,0.994112,0.00236618,4,15,0,4985.49,0.00806881,0.998548
-4984.8,0.916243,0.00455104,3,7,0,4987.11,-0.0108901,0.99681
-4986.22,0.728522,0.00686429,2,3,0,4986.63,-0.000283585,1.01148
-4987.26,0.841427,0.00582369,1,1,0,4987.32,-0.000464091,1.01515
-4985.36,0.923065,0.00699548,2,3,0,4988.44,0.00850484,1.00189
-4985.45,0.884486,0.0107351,1,3,0,4985.91,0.00304806,1.00704
-4985.45,0.0301565,0.0146086,1,3,0,4987.67,0.00304806,1.00704
-4985.52,0.99979,0.00158431,5,31,0,4986.01,0.00356544,0.989899
-4987.12,0.897277,0.00306423,1,3,0,4988.39,0.00537793,0.98388
-4987.69,0.996832,0.00435525,3,7,0,4987.71,-0.017804,1.01351
-4986.03,1,0.00820436,2,3,0,4988.01,0.00997944,0.990977
-4986.03,0.220988,0.0154371,1,1,0,4986.99,0.00997944,0.990977
-4985.19,1,0.00316368,3,7,0,4986.68,-0.0148948,1.00076
-4986.07,0.92736,0.00594126,2,3,0,4986.19,-0.0174132,1.00645
-4985.05,1,0.00901941,1,1,0,4985.82,-0.0122072,1.00269
-4985.05,5.85381e-05,0.0166192,1,3,0,4986.36,-0.0122072,1.00269
-4984.67,0.997651,0.0019604,3,11,0,4985.43,-0.00886579,0.997007
-4984.78,0.996501,0.00359849,3,7,0,4984.98,0.00369976,0.998714
-4984.58,0.971826,0.00651937,3,7,0,4985.3,-0.00569381,1.00075
-4984.58,0.29738,0.0109505,1,1,0,4985.75,-0.00569381,1.00075
-4984.69,0.988264,0.00305251,3,9,0,4985.19,-0.00305029,1.00275
-4985.55,0.969101,0.00534045,2,3,0,4985.58,0.00921718,0.993925
-4985.32,0.935495,0.00880822,2,3,0,4986.27,-0.00619092,1.00738
-4984.92,1,0.0132117,1,3,0,4984.98,-0.00720718,0.99266
-4984.92,0.000561673,0.0232379,1,1,0,4986.26,-0.00720718,0.99266
-4984.61,0.998399,0.00317129,3,7,0,4985.06,-0.00814795,0.997735
-4987.43,0.815376,0.00556556,3,7,0,4987.46,-0.0170246,0.984538
-4986.57,0.93601,0.0061158,3,7,0,4988.94,-0.0224878,0.993422
-4985.15,1,0.0090632,2,3,0,4986.68,0.00726277,1.00079
-4985.15,0.467423,0.0156421,2,3,0,4985.4,-0.0140376,1.0018
-4984.58,0.913963,0.00723719,2,3,0,4985.86,-0.00160302,0.996199
-4985.97,0.567534,0.0100591,2,3,0,4986.86,-0.00635368,1.01054
-4984.83,0.996625,0.00601182,2,7,0,4986.09,-0.0114331,1.00006
-4985.25,0.874162,0.0101559,1,1,0,4985.29,-0.0146655,1.00224
-4985.25,0.281702,0.0127099,1,1,0,4986.32,-0.0146655,1.00224
-4984.83,0.996688,0.00388688,2,3,0,4985.38,-0.0104475,1.00158
-4985,0.972503,0.00651228,3,11,0,4985.38,0.00612543,0.999663
-4987.44,0.427075,0.0102375,2,3,0,4987.97,-0.0276567,0.996774
-4985.25,0.999388,0.00449755,2,7,0,4987.5,-0.015183,1.0013
-4984.61,1,0.00749395,2,3,0,4985.36,0.000179425,1.00019
-4985.81,0.564589,0.0124199,2,7,0,4986.08,-0.0116487,1.00853
-4985.3,1,0.00757105,2,3,0,4985.87,-0.000630131,0.989944
-4985.01,0.841947,0.0124622,2,3,0,4985.76,-0.0136946,0.998476
-4985.01,0.0263313,0.0142747,2,3,0,4987.4,-0.0136946,0.998476
-4984.84,0.999829,0.00262608,4,15,0,4985.12,-0.0107469,0.995703
-4986.11,0.887556,0.00430655,3,7,0,4987.51,0.00180379,1.01069
-4984.54,0.892427,0.00547482,2,3,0,4987.61,-0.00176099,0.999849
-4984.52,0.77658,0.00701348,2,3,0,4986.21,-0.00497189,0.997898
-4987.9,0.712998,0.00695189,2,3,0,4988.13,-0.0268423,0.99051
-4988.9,0.958035,0.00600039,2,3,0,4990.29,-0.0318533,1.00528
-4987.85,1,0.00881027,2,3,0,4988.76,0.0221146,0.997679
-4987.71,0.240612,0.0140931,2,3,0,4989.64,-0.0247745,0.988969
-4985.16,1,0.00442159,3,7,0,4987.88,0.00506795,1.00379
-4984.83,0.993675,0.00706029,2,3,0,4985.61,-0.000273943,0.993386
-4984.71,0.394408,0.0110647,2,7,0,4986.25,0.00221621,0.996654
-4985.44,0.927594,0.00489273,2,5,0,4985.72,-0.00830545,1.00763
-4985.26,0.848988,0.00665631,1,3,0,4987.14,-0.0113734,0.991812
-4984.99,1,0.00766276,2,3,0,4985.35,-0.00885191,1.00442
-4984.62,0.996137,0.0120377,2,7,0,4984.82,-0.00128899,0.995526
-4984.62,4.13679e-08,0.0186693,1,1,0,4987.3,-0.00128899,0.995526
-4984.86,0.970387,0.00374629,2,5,0,4986.14,0.00475158,0.997874
-4984.62,0.95579,0.00551946,1,3,0,4985.73,-0.00320682,0.995098
-4986.41,0.646074,0.0078624,1,3,0,4986.44,-0.00292407,0.984879
-4984.94,0.822714,0.005974,1,3,0,4988.72,0.00513905,1.0006
-4984.58,0.996484,0.00648739,2,3,0,4985.07,-0.00164207,0.99624
