# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson4_1.data.R
# init = 2 (Default)
# random
#   seed = 2089485083
# output
#   file = CmdStanPoisson4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
-28028,0.5,0.0078125,1,2,1,48270.6,-0.731739,1.13978,0.657792,0.0441285,-1.31672,-1.28374,-0.581288,-1.59722,-0.506144,-0.741942,0.0849992,-0.963063,0.172366
-28028,0,5.79578,0,1,1,28033.4,-0.731739,1.13978,0.657792,0.0441285,-1.31672,-1.28374,-0.581288,-1.59722,-0.506144,-0.741942,0.0849992,-0.963063,0.172366
-28028,0,0.748159,0,1,1,28034.7,-0.731739,1.13978,0.657792,0.0441285,-1.31672,-1.28374,-0.581288,-1.59722,-0.506144,-0.741942,0.0849992,-0.963063,0.172366
-28028,0,0.0632707,0,1,1,28034.6,-0.731739,1.13978,0.657792,0.0441285,-1.31672,-1.28374,-0.581288,-1.59722,-0.506144,-0.741942,0.0849992,-0.963063,0.172366
-21801.2,1,0.00446404,1,1,0,28036.6,-0.70385,1.13999,0.650561,0.0524491,-1.31284,-1.27495,-0.576575,-1.59029,-0.503051,-0.73117,0.0875061,-0.721947,0.173063
-10705.6,0.666667,0.00579375,1,3,1,21807.3,-0.662896,1.15458,0.635151,0.0565544,-1.3093,-1.26827,-0.57042,-1.58766,-0.498977,-0.723763,0.089178,-0.290707,0.173366
1968.67,1,0.00315011,2,3,0,10666.2,-0.611549,1.16358,0.624063,0.0617917,-1.30633,-1.26973,-0.568009,-1.57918,-0.497063,-0.711075,0.0890109,0.202624,0.174485
9747.63,1,0.00513576,1,1,0,-3425.36,-0.587317,1.16707,0.615122,0.0738779,-1.30853,-1.26632,-0.568958,-1.572,-0.495121,-0.713722,0.095451,0.532471,0.173625
9747.63,0,0.00894998,0,1,1,-9743.06,-0.587317,1.16707,0.615122,0.0738779,-1.30853,-1.26632,-0.568958,-1.572,-0.495121,-0.713722,0.095451,0.532471,0.173625
10390.3,1,0.000691697,2,3,0,-9747.3,-0.587439,1.1666,0.609707,0.0755698,-1.30663,-1.26669,-0.568105,-1.5705,-0.494865,-0.713739,0.0971687,0.569809,0.173279
11037.5,1,0.00128474,2,3,0,-10422.4,-0.57973,1.16757,0.61162,0.0740231,-1.3085,-1.26808,-0.562802,-1.56668,-0.493637,-0.714626,0.100817,0.619846,0.172947
11238.7,1,0.00244112,2,3,0,-11087.5,-0.577363,1.17108,0.610589,0.0731072,-1.30723,-1.2665,-0.562945,-1.56063,-0.494477,-0.720099,0.0994442,0.64944,0.172945
11238.7,8.87763e-93,0.0046989,1,2,1,-11230.7,-0.577363,1.17108,0.610589,0.0731072,-1.30723,-1.2665,-0.562945,-1.56063,-0.494477,-0.720099,0.0994442,0.64944,0.172945
11759.9,0.999346,0.000395737,7,127,0,-11232.3,-0.569176,0.724246,0.546477,0.025719,-1.21376,-1.24244,-0.489469,-1.33657,-0.473608,-0.714801,0.117185,0.699493,0.186239
11780.3,1,0.000778974,3,7,0,-11755.1,-0.571408,0.723952,0.545364,0.0245564,-1.21342,-1.24071,-0.489319,-1.33759,-0.472246,-0.716842,0.120176,0.6936,0.186367
11896.6,0.857013,0.00153657,4,15,0,-11772.6,-0.553042,0.628506,0.529348,0.0167211,-1.19243,-1.22281,-0.490368,-1.25738,-0.473058,-0.689914,0.153596,0.68146,0.189601
11919.8,0.903263,0.00194605,3,7,0,-11893.5,-0.56226,0.61272,0.525321,0.0145263,-1.18281,-1.21605,-0.49037,-1.24214,-0.472021,-0.682418,0.152291,0.687833,0.193186
11957.3,0.999348,0.00284174,4,15,0,-11913.2,-0.54205,0.571534,0.537789,0.0149876,-1.17676,-1.20969,-0.475133,-1.21941,-0.483602,-0.679308,0.132368,0.686626,0.197133
11957.3,6.70689e-08,0.0055394,1,3,1,-11955.2,-0.54205,0.571534,0.537789,0.0149876,-1.17676,-1.20969,-0.475133,-1.21941,-0.483602,-0.679308,0.132368,0.686626,0.197133
11961.1,1,0.000531079,5,31,0,-11954.7,-0.54512,0.56624,0.537404,0.0143552,-1.17454,-1.21178,-0.472246,-1.21898,-0.483451,-0.679151,0.132437,0.685946,0.197156
11984.3,0.996568,0.00104536,4,15,0,-11958.5,-0.555835,0.549289,0.541444,0.00250544,-1.1639,-1.20487,-0.471,-1.19701,-0.483224,-0.689083,0.136319,0.688538,0.198652
12095.8,0.962995,0.00201806,4,15,0,-11977.4,-0.574265,0.450255,0.51822,-0.0797199,-1.12558,-1.19506,-0.44303,-1.12115,-0.470172,-0.66826,0.110837,0.693181,0.203813
12111.3,0.860806,0.0034969,3,7,0,-12090.3,-0.573773,0.435279,0.525528,-0.0976768,-1.12317,-1.18112,-0.444894,-1.10978,-0.464108,-0.664947,0.107596,0.697005,0.204081
12111.3,0.0452809,0.0044653,2,5,1,-12106.1,-0.573773,0.435279,0.525528,-0.0976768,-1.12317,-1.18112,-0.444894,-1.10978,-0.464108,-0.664947,0.107596,0.697005,0.204081
12131.1,1,0.000541871,6,63,0,-12104.2,-0.577323,0.421249,0.528706,-0.105047,-1.11051,-1.18374,-0.434354,-1.091,-0.473383,-0.652466,0.0992061,0.693255,0.207047
12305.4,0.999792,0.00104351,6,63,0,-12128.4,-0.566228,0.22428,0.50275,-0.176745,-1.00051,-1.14381,-0.441113,-0.917413,-0.43128,-0.64084,0.114604,0.700508,0.211792
12342.9,1,0.00198715,5,31,0,-12293.9,-0.554578,0.198012,0.567306,-0.183483,-0.983478,-1.12242,-0.414619,-0.835195,-0.417643,-0.638709,0.121075,0.696826,0.213535
12354.3,0.204768,0.00374656,3,7,0,-12335.4,-0.555335,0.187304,0.550877,-0.185499,-0.98316,-1.10408,-0.425219,-0.810621,-0.393613,-0.653229,0.135885,0.695584,0.215608
12419.8,0.998181,0.000763204,6,63,0,-12349.8,-0.562865,0.0658302,0.557673,-0.18356,-0.92743,-1.09697,-0.418205,-0.723212,-0.421717,-0.653428,0.119098,0.697306,0.219526
12432.1,0.965629,0.00142854,5,31,0,-12413.5,-0.579103,0.0404787,0.557471,-0.192335,-0.921374,-1.09455,-0.41316,-0.705579,-0.42475,-0.641923,0.124102,0.704056,0.219301
12459.5,0.903135,0.00242061,5,31,0,-12423.9,-0.579699,0.0157409,0.545055,-0.202176,-0.901238,-1.06786,-0.408653,-0.645954,-0.404559,-0.64031,0.157707,0.698525,0.229456
12530,0.967714,0.00343128,4,15,0,-12453.1,-0.590779,-0.055405,0.455405,-0.308481,-0.826637,-0.989968,-0.354087,-0.507154,-0.354085,-0.642889,0.167336,0.703881,0.236999
12533,0.333333,0.00575485,1,3,1,-12526.7,-0.58501,-0.0674198,0.451583,-0.310871,-0.82262,-0.992034,-0.352509,-0.504394,-0.353966,-0.645862,0.168316,0.701168,0.235075
12561.3,0.995277,0.00175712,5,31,0,-12526.1,-0.58614,-0.105936,0.446293,-0.313096,-0.772328,-0.963926,-0.35722,-0.391192,-0.375557,-0.636708,0.154295,0.699322,0.244307
12602.6,0.999965,0.00316035,5,31,0,-12552,-0.629541,-0.272355,0.402094,-0.342467,-0.640457,-0.866531,-0.316008,-0.372242,-0.389478,-0.584256,0.119191,0.706839,0.23118
12602.6,0.0128737,0.00570028,1,3,0,-12595.8,-0.629541,-0.272355,0.402094,-0.342467,-0.640457,-0.866531,-0.316008,-0.372242,-0.389478,-0.584256,0.119191,0.706839,0.23118
