# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian4_1.data.R
# init = 2 (Default)
# random
#   seed = 1750836518
# output
#   file = CmdStanGaussian4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-6880.19,1,0.015625,1,1,0,8918.91,-0.640441,1.05397
-6880.19,0,14.3855,0,1,1,6881.22,-0.640441,1.05397
-6880.19,0,2.43117,0,1,1,6880.98,-0.640441,1.05397
-6880.19,0,0.239791,0,1,1,6881.01,-0.640441,1.05397
-6880.19,0,0.0186273,0,1,1,6880.43,-0.640441,1.05397
-5716.12,1,0.00130482,4,15,0,6875.38,-0.370877,1.15756
-5667.31,1,0.00189104,2,3,0,5717.43,-0.357001,1.14895
-5634.44,1,0.00305706,1,1,0,5667.6,-0.348008,1.14183
-5031.99,1,0.00530085,3,7,0,5595.27,-0.0295005,0.96734
-5015.43,1,0.00961161,2,3,0,5027.08,0.00287965,1.00344
-5015.43,0.00290273,0.0179176,1,1,0,5015.83,0.00287965,1.00344
-5015.4,0.999317,0.00145525,4,31,0,5015.64,-0.00536256,1.00178
-5015.83,0.986988,0.00279953,4,15,0,5016.18,0.00513259,0.995919
-5015.98,0.990304,0.00521675,3,7,0,5016.17,-0.00497324,0.993907
-5016.69,0.947128,0.0098429,2,3,0,5016.72,0.0113024,1.00949
-5016.69,1.33863e-06,0.0162203,1,1,0,5017.47,0.0113024,1.00949
-5015.8,0.998703,0.00144662,3,15,0,5017.2,0.00870565,1.00173
-5015.66,0.992503,0.00283355,3,11,0,5016.69,-0.00902555,1.00349
-5015.34,0.853227,0.00541016,3,7,0,5017.55,-0.00180006,1.00001
-5015.35,0.993007,0.00674399,2,7,0,5015.41,-0.00324448,1.00273
-5015.35,0.596166,0.0127319,1,1,0,5015.64,-0.00324448,1.00273
-5015.35,0.653862,0.00736845,1,3,0,5017.03,-0.00324448,1.00273
-5015.38,0.987833,0.00510272,3,7,0,5015.72,0.00131262,1.00364
-5015.38,0.510264,0.00939546,1,3,0,5017.47,0.00131262,1.00364
-5015.37,0.988566,0.00432659,3,7,0,5015.71,0.000323834,0.999392
-5016.12,0.767645,0.00792233,2,3,0,5016.36,0.00127158,1.01046
-5015.43,0.946075,0.00768214,1,3,0,5016.43,-0.00315605,0.9984
-5015.38,0.940739,0.012306,2,3,0,5015.63,-0.00353719,1.00365
-5015.5,0.358197,0.019272,1,3,0,5015.6,-0.0057333,0.998692
-5015.53,0.898308,0.00599568,2,7,0,5016.63,0.00399835,0.998689
-5016.74,0.456422,0.00834853,2,3,0,5019.27,-0.0097261,0.991393
-5016.13,0.989129,0.00348165,2,7,0,5018.26,0.00338934,0.993145
-5015.61,0.970836,0.00618533,2,3,0,5016.58,-0.00377635,0.996433
-5015.93,0.888932,0.0103664,1,3,0,5016.21,0.00481455,0.994999
-5015.93,0.00953788,0.0138663,2,3,0,5016.48,0.00481455,0.994999
-5017.22,0.994528,0.00182822,4,15,0,5017.4,0.0141932,1.01037
-5015.84,0.997112,0.00324943,3,7,0,5017.75,0.00804847,0.998392
-5015.52,0.979106,0.0057612,2,5,0,5016.35,-0.00761352,1.00222
-5015.36,0.561531,0.00966525,2,3,0,5016.82,-0.00261576,1.00344
-5016.18,0.871796,0.00554812,3,7,0,5018.16,-0.00479117,1.0106
-5015.55,1,0.00703878,2,3,0,5016.13,-0.00683533,1.00433
-5015.41,1,0.012275,1,1,0,5015.49,-0.00489508,1.00002
-5015.41,0.0151438,0.0212275,1,1,0,5016.5,-0.00489508,1.00002
-5015.72,0.986963,0.00318301,3,7,0,5015.87,-0.00225027,1.00796
-5015.5,0.993879,0.00533826,2,3,0,5015.85,0.000367872,1.00577
-5015.33,0.680567,0.00903626,2,3,0,5016.53,-0.00191791,1.00293
-5015.9,0.881761,0.00710674,1,3,0,5015.97,-0.00278964,1.00925
-5015.35,0.975122,0.0090966,2,3,0,5015.82,0.00149133,1.00134
-5015.35,0.0598937,0.0145005,1,1,0,5016.29,0.00149133,1.00134
-5015.87,0.985653,0.00261743,2,7,0,5016.66,0.00884533,1.00405
-5015.46,0.996991,0.00428408,3,7,0,5016.18,-0.00668378,1.00182
-5015.57,0.993336,0.00715195,2,3,0,5015.58,-0.00763917,1.0038
-5016.98,0.522575,0.0117566,2,3,0,5017.11,-0.0142364,1.01079
-5016.53,0.646391,0.00646751,1,3,0,5022.24,0.00190879,0.990814
-5015.52,1,0.00476316,2,3,0,5016.56,0.00513414,1.00045
-5015.65,0.916536,0.00788969,2,3,0,5015.93,0.00192455,1.00705
-5017.09,0.53538,0.0107445,1,1,0,5017.31,0.0107853,1.0121
-5017.04,0.974507,0.00617309,2,7,0,5018.09,0.0061948,0.989626
-5016.88,0.941406,0.00954642,2,3,0,5017.81,0.0110862,1.01082
-5016.1,1,0.0136393,1,1,0,5016.77,0.010973,1.00395
-5016.1,0.00492571,0.0220861,1,1,0,5016.73,0.010973,1.00395
-5015.5,0.998984,0.00398216,4,15,0,5016.2,0.0017157,1.00549
-5015.47,0.999533,0.00644146,3,11,0,5015.54,-0.00527932,1.00425
-5017.1,0.41034,0.0103719,1,1,0,5017.24,-0.00113506,1.01513
-5016.89,0.976444,0.00464533,2,3,0,5018.13,-0.00909335,1.01297
-5016.64,0.640924,0.00708942,2,3,0,5019.28,-0.0092385,0.991672
-5018.24,0.899063,0.00525455,2,3,0,5018.55,-0.00573532,1.01865
-5017.92,0.995037,0.00676339,2,3,0,5019.25,-0.00907854,0.986631
-5018.13,1,0.0106325,2,3,0,5018.22,0.0116089,1.01602
-5018.13,0.002026,0.0168045,1,3,0,5022.86,0.0116089,1.01602
-5016.3,0.976639,0.00327681,3,15,0,5019.93,0.00208836,1.01138
-5015.97,0.989552,0.00493833,2,3,0,5016.64,0.00537657,1.00829
-5017.78,0.647776,0.00760944,1,3,0,5018.37,-0.00358147,1.01741
-5018.74,0.853746,0.00577427,1,1,0,5018.99,-0.000975022,1.02042
-5016.3,1,0.00669908,2,3,0,5019.27,0.0128258,1.00042
-5015.57,1,0.0104527,2,3,0,5016.24,-0.00776511,1.00372
-5015.57,0.00205502,0.0162334,1,3,0,5017.72,-0.00776511,1.00372
-5016.04,0.946639,0.00335222,2,7,0,5019.02,0.00907959,0.997054
-5016.73,0.937106,0.00468178,2,3,0,5017.73,0.0157328,1.00154
-5017.6,0.930883,0.00639318,3,11,0,5018.09,0.0160922,1.01079
-5015.97,0.871735,0.00859526,1,3,0,5019.26,-0.00676396,1.00871
-5015.92,0.92851,0.010249,2,3,0,5016.38,-0.00134082,0.993835
-5015.92,0.225936,0.0136409,1,1,0,5016.18,-0.00134082,0.993835
-5016.76,0.828926,0.00457047,2,3,0,5018.47,0.00270284,0.989972
-5016.25,0.978039,0.00501352,3,7,0,5018.28,0.00577208,1.01002
-5016.29,0.926765,0.00733799,2,3,0,5017.39,0.00419374,0.992504
-5016.29,0.16724,0.00969166,1,1,0,5018.59,0.00419374,0.992504
-5016.84,0.985868,0.00296265,3,7,0,5017.44,-0.0020636,0.989349
-5015.43,1,0.00438741,2,5,0,5016.7,-0.000944392,0.998087
-5015.67,0.980382,0.00665019,2,7,0,5015.69,0.00239131,1.00705
-5017.07,0.666212,0.00967435,1,3,0,5017.32,-0.00401838,1.01487
-5016.74,0.998017,0.00774776,2,7,0,5017.53,0.0114132,0.993668
-5016.07,1,0.011602,2,3,0,5016.65,-0.00809218,0.994454
-5016.07,4.70873e-06,0.017375,1,1,0,5016.47,-0.00809218,0.994454
-5015.63,0.99518,0.00401809,3,7,0,5016.36,-0.000818369,1.00722
-5016.06,0.990089,0.00596881,2,7,0,5016.11,-0.0107165,0.996204
-5018.47,0.443571,0.00875297,1,1,0,5018.51,-0.0162972,0.98762
-5016.59,0.808488,0.00467771,2,3,0,5021.78,-0.00611712,0.990916
-5017.3,0.986362,0.00490525,3,7,0,5017.7,-0.0114337,0.98965
-5015.65,0.988009,0.00711372,3,7,0,5017.63,0.00246287,0.996344
-5015.58,1,0.660141,2,3,0,5015.66,-0.000614536,1.00677
-5015.58,0,9.49646,0,1,1,5015.73,-0.000614536,1.00677
-5015.58,0.000224369,1.60491,1,1,0,5017.48,-0.000614536,1.00677
-5015.52,0.999818,0.158391,4,15,0,5015.87,-0.0057956,1.00485
-5015.46,0.995129,0.214131,3,7,0,5015.83,-0.00626389,1.00298
-5016.14,0.965451,0.330041,2,3,0,5016.17,-0.0135575,1.00417
-5017.2,0.910581,0.505212,2,3,0,5017.37,-0.0196975,0.997535
-5016.58,0.325493,0.683037,2,3,0,5021.86,0.011649,1.00844
-5015.71,0.997288,0.150418,3,15,0,5017.48,-0.00588922,0.99624
-5016.19,0.936529,0.275378,2,3,0,5016.77,-0.00246509,0.992282
-5016.01,0.998863,0.4222,2,3,0,5016.53,-0.0076435,1.00864
-5016.51,0.720976,0.793731,2,3,0,5018.19,-0.0114306,1.00988
-5015.36,1,0.622821,2,3,0,5016.38,-0.000547444,1.00365
