# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian_1.data.R
# init = 2 (Default)
# random
#   seed = 1750260049
# output
#   file = CmdStanGaussian_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-11.1454,1,0.125,2,3,0,29.0598,1.49824,1.07669
-11.1454,0,14.3855,0,1,1,11.179,1.49824,1.07669
-11.1454,0,2.43117,0,1,1,11.4558,1.49824,1.07669
-7.57372,0.341294,0.239791,3,7,0,12.066,-0.870947,1.35929
-1.99167,0.998298,0.0493902,4,15,0,7.89545,0.305681,0.868784
-2.34003,0.997435,0.0708072,3,7,0,2.36058,0.402044,0.908292
-3.05765,0.983741,0.1134,2,7,0,3.10314,0.574683,0.921601
-2.28143,0.865429,0.18652,1,3,0,4.96864,0.133007,0.969277
-2.88173,0.888772,0.220462,2,3,0,3.53924,-0.185004,0.767643
-2.12179,1,0.286463,2,3,0,2.903,0.280746,0.91752
-2.12179,3.77451e-11,0.536536,1,1,0,2.46446,0.280746,0.91752
-1.62602,0.999996,0.0430129,4,15,0,2.14151,0.235202,0.729083
-1.81043,0.984723,0.0820823,2,7,0,2.5088,0.322832,0.773216
-1.63536,0.969305,0.149621,1,3,0,2.33611,0.140597,0.746923
-3.45643,0.411743,0.259584,1,1,0,3.51609,-0.0574799,0.550112
-3.33799,0.985185,0.0797688,2,3,0,3.93837,-0.0516456,0.55469
-2.17924,1,0.145824,2,3,0,3.68053,0.313456,0.597361
-2.63387,0.614949,0.277139,2,3,0,3.26553,0.106461,1.04616
-5.48295,0.923436,0.162642,2,7,0,5.67995,-0.558712,1.20897
-5.63561,0.85164,0.243634,2,3,0,6.1376,0.725152,0.623017
-3.88655,1,0.292999,2,3,0,4.54634,-0.264439,1.13876
-3.88655,6.37044e-18,0.545105,1,1,0,4.63265,-0.264439,1.13876
-4.67465,0.996966,0.0535365,3,15,0,5.51066,-0.430558,1.15309
-4.48559,0.995349,0.0992222,3,7,0,5.42791,-0.18378,1.35276
-6.23509,0.919402,0.181215,2,7,0,6.55206,-0.676985,1.09947
-2.4716,0.728367,0.263772,2,3,0,8.15484,0.180655,1.01613
-3.81821,0.899222,0.222105,2,3,0,4.07789,-0.275556,0.714643
-2.86452,1,0.303133,2,3,0,3.6156,-0.0729375,1.02989
-2.86452,0.081625,0.544958,1,1,0,2.91775,-0.0729375,1.02989
-4.70194,0.978908,0.0768036,3,11,0,6.90973,-0.453283,1.103
-5.44405,0.999937,0.130553,2,3,0,5.82611,-0.498077,1.32669
-3.85949,0.967852,0.232911,2,3,0,6.02418,-0.0292931,1.27699
-1.68744,0.672075,0.37751,1,3,0,3.07321,0.152234,0.790759
-1.62708,0.996438,0.275441,2,3,0,1.71769,0.160395,0.691261
-1.62708,0.0022635,0.477167,1,1,0,2.04785,0.160395,0.691261
-4.19271,0.966494,0.0600094,2,7,0,5.30698,0.523979,0.554385
-3.22831,1,0.096453,3,7,0,4.67624,0.527596,0.634701
-2.23386,1,0.16781,3,7,0,3.49922,0.0270132,0.922734
-1.91711,0.918596,0.289444,2,3,0,2.85417,0.233248,0.608314
-3.24967,0.126381,0.402297,2,5,0,3.69338,0.62177,0.826494
-4.1449,0.957008,0.0749787,2,3,0,4.57897,0.676094,0.700947
-3.58718,0.968583,0.115331,3,7,0,6.27196,0.182217,1.25025
-3.44677,0.989579,0.181414,2,7,0,4.40062,0.50732,1.11998
-2.14268,0.952759,0.298565,2,3,0,3.65799,-0.0290234,0.838748
-2.14268,0.0103393,0.445618,2,3,0,4.36266,-0.0290234,0.838748
-2.89112,0.990244,0.0663705,3,7,0,3.02911,-0.165028,0.713964
-1.81253,0.956333,0.108984,2,5,0,4.17557,0.286619,0.81484
-2.48939,0.932028,0.163783,2,3,0,2.78738,0.109517,1.01422
-2.48738,1,0.230925,2,3,0,2.80943,-0.0619489,0.93152
-2.59918,0.410995,0.380752,2,7,0,2.99208,0.193541,1.04408
-2.31802,0.991934,0.155571,3,7,0,3.25323,-0.0341657,0.651224
-2.31802,0.29988,0.250637,1,1,0,4.78049,-0.0341657,0.651224
-2.48517,0.935676,0.0802156,3,15,0,4.61381,0.344855,0.98439
-3.29709,0.979659,0.113232,2,7,0,4.1653,0.0729192,0.508175
-2.15823,0.966421,0.17602,3,7,0,3.61369,0.0786125,0.595799
-2.26231,0.759474,0.263973,2,3,0,2.98786,0.449962,0.753637
-2.4239,0.652997,0.246318,1,3,0,3.95862,-0.0866835,0.875897
-1.95677,0.947618,0.180941,3,7,0,3.78805,0.314644,0.635257
-1.95677,0.118984,0.258089,1,1,0,3.71069,0.314644,0.635257
-1.78689,0.998808,0.0579246,3,7,0,2.19585,0.164512,0.630414
-2.84667,0.932109,0.0927464,3,7,0,4.28578,0.553882,0.857682
-2.14335,0.994392,0.127504,1,3,0,3.16649,0.406086,0.827529
