# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian3_1.data.R
# init = 2 (Default)
# random
#   seed = 1750856219
# output
#   file = CmdStanGaussian3_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-9748.85,1,0.00390625,3,7,0,17762.4,0.809773,0.857342
-9748.85,0,14.3855,0,1,1,9749.17,0.809773,0.857342
-9748.85,0,2.43117,0,1,1,9749.62,0.809773,0.857342
-9748.85,0,0.239791,0,1,1,9749.9,0.809773,0.857342
-9748.85,0,0.0186273,0,1,1,9749.05,0.809773,0.857342
-8902.09,1,0.00130482,2,3,0,9733.59,0.76963,0.891242
-8603.21,1,0.00189104,1,1,0,8891.42,0.753423,0.905074
-7964.74,1,0.00305706,1,1,0,8544.96,0.719124,0.944803
-6710.3,1,0.00530085,2,3,0,7714.38,0.601413,1.04818
-5307.89,0.857143,0.00961161,2,7,0,6364.46,-0.131712,1.12109
-5144.01,0.926142,0.0114048,2,3,0,5241.02,-0.0357976,0.992152
-5144.01,0.000222037,0.0171186,1,1,0,5144.89,-0.0357976,0.992152
-5144.4,0.999529,0.00140591,2,3,0,5144.61,-0.0368408,0.992457
-5143.71,1,0.0027332,1,1,0,5144.59,-0.0354628,0.992443
