# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson2_1.data.R
# init = 2 (Default)
# random
#   seed = 2089483631
# output
#   file = CmdStanPoisson2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
-1.23508e+06,1,6.10352e-05,1,1,0,9.2482e+06,1.85059,0.540135,-1.97529,1.90535,0.192995,1.67594,0.890409,0.779103,0.677935,1.00048,1.37961,0.95004,0.189595
-1.23508e+06,0,14.3855,0,1,1,1.23509e+06,1.85059,0.540135,-1.97529,1.90535,0.192995,1.67594,0.890409,0.779103,0.677935,1.00048,1.37961,0.95004,0.189595
-1.23508e+06,0,2.43117,0,1,1,1.23509e+06,1.85059,0.540135,-1.97529,1.90535,0.192995,1.67594,0.890409,0.779103,0.677935,1.00048,1.37961,0.95004,0.189595
-1.23508e+06,0,0.239791,0,1,1,1.23509e+06,1.85059,0.540135,-1.97529,1.90535,0.192995,1.67594,0.890409,0.779103,0.677935,1.00048,1.37961,0.95004,0.189595
-1.23508e+06,0,0.0186273,0,1,1,1.23509e+06,1.85059,0.540135,-1.97529,1.90535,0.192995,1.67594,0.890409,0.779103,0.677935,1.00048,1.37961,0.95004,0.189595
-1.23508e+06,0,0.00130482,0,1,1,1.23509e+06,1.85059,0.540135,-1.97529,1.90535,0.192995,1.67594,0.890409,0.779103,0.677935,1.00048,1.37961,0.95004,0.189595
-742775,1,8.85015e-05,1,1,0,1.14657e+06,1.84572,0.54016,-1.97525,1.90527,0.193085,1.6731,0.889457,0.779128,0.677918,1.00008,1.37895,0.900894,0.189622
-353888,1,0.000135987,1,1,0,655743,1.83851,0.539801,-1.97514,1.90471,0.19305,1.66932,0.888289,0.778688,0.677931,0.999551,1.37794,0.830472,0.189634
-119451,1,0.000228818,4,15,0,292993,1.82855,0.539612,-1.97501,1.90428,0.192931,1.66425,0.886944,0.778452,0.677679,0.998853,1.37628,0.732915,0.189655
-24068,1,0.000408639,4,15,0,93156.5,1.81657,0.539196,-1.97524,1.90309,0.19242,1.65862,0.885274,0.777323,0.677882,0.997739,1.37418,0.617406,0.189726
4986.59,1,0.000758439,1,1,0,15653,1.80338,0.53852,-1.97588,1.90248,0.192166,1.65283,0.883869,0.776748,0.678483,0.997137,1.37154,0.496503,0.189823
11655.3,1,0.00144197,2,7,0,-7152.35,1.79174,0.535161,-1.97741,1.90326,0.194599,1.64592,0.882029,0.778509,0.681037,0.99576,1.37021,0.380689,0.18988
12237.6,1,0.00278004,3,7,0,-11950.8,1.77926,0.536391,-1.94922,1.84715,0.214483,1.60531,0.923039,0.771865,0.682112,0.97141,1.35945,0.317637,0.197686
12237.6,1.43348e-28,0.00539629,1,3,1,-12232.7,1.77926,0.536391,-1.94922,1.84715,0.214483,1.60531,0.923039,0.771865,0.682112,0.97141,1.35945,0.317637,0.197686
12301.8,0.999951,0.000464213,6,63,0,-12228.8,1.76076,0.549466,-1.92948,1.7963,0.220912,1.5823,0.97175,0.751856,0.713299,0.933856,1.3642,0.329435,0.206575
12767.2,0.962704,0.000918537,7,127,0,-12290.4,1.77891,0.652174,-1.40321,1.41073,0.222257,1.2559,1.10153,0.594319,0.777062,0.830435,1.25116,0.34176,0.283237
